year,period,pattern,total_pattern_matches,total_collocates_lr,unique_collocates,avg_freq_per_collocate
2021,Early (2019-2021),aussterben,27,155,74,2.09
2021,Early (2019-2021),bevoelkerung,1129,6983,2486,2.81
2021,Early (2019-2021),bevoelkerungsrueckgang,2,13,12,1.08
2021,Early (2019-2021),bevoelkerungszahl,107,666,369,1.8
2021,Early (2019-2021),bevoelkerungszuwachs,21,153,124,1.23
2021,Early (2019-2021),demografie,22,131,112,1.17
2021,Early (2019-2021),demografische_krise,0,0,0,0.0
2021,Early (2019-2021),demografischer_mangel_verlust,0,0,0,0.0
2021,Early (2019-2021),duma,292,1810,848,2.13
2021,Early (2019-2021),ehe,180,1132,690,1.64
2021,Early (2019-2021),eltern_elternschaft,306,1809,926,1.95
2021,Early (2019-2021),empfaengnis,1,5,5,1.0
2021,Early (2019-2021),erziehung,160,938,577,1.63
2021,Early (2019-2021),familie,801,4708,2034,2.31
2021,Early (2019-2021),frau,1305,8009,3069,2.61
2021,Early (2019-2021),geburt_gebaeren,283,1675,896,1.87
2021,Early (2019-2021),geburtenrate,9,51,39,1.31
2021,Early (2019-2021),geistig_religioes,322,1899,1011,1.88
2021,Early (2019-2021),generation,215,1359,726,1.87
2021,Early (2019-2021),gesetz,3953,22854,5522,4.14
2021,Early (2019-2021),heimat_vaterland,469,2805,1378,2.04
2021,Early (2019-2021),kinder,2746,16286,4563,3.57
2021,Early (2019-2021),land_staatlicher_raum,10897,65164,10115,6.44
2021,Early (2019-2021),mann,548,3367,1748,1.93
2021,Early (2019-2021),muetterlich_vaeterlich,8,47,43,1.09
2021,Early (2019-2021),mutter_mutterschaft,287,1727,983,1.76
2021,Early (2019-2021),mutterschaftskapital,1,7,5,1.4
2021,Early (2019-2021),nation_national,1463,9522,3162,3.01
2021,Early (2019-2021),norm_ordnung_kultur_gesellschaft,4901,28637,6732,4.25
2021,Early (2019-2021),patriotismus_identitaet_souveraenitaet,941,5847,1990,2.94
2021,Early (2019-2021),propaganda,777,4767,2037,2.34
2021,Early (2019-2021),regierung,1380,8783,2950,2.98
2021,Early (2019-2021),reproduktion_fachbegriff,1,7,7,1.0
2021,Early (2019-2021),russland_russisch,33802,210229,20879,10.07
2021,Early (2019-2021),schwangerschaft,57,344,235,1.46
2021,Early (2019-2021),schwangerschaftsabbruch,0,0,0,0.0
2021,Early (2019-2021),sorge_fuersorge,174,934,560,1.67
2021,Early (2019-2021),staat,4540,28494,6010,4.74
2021,Early (2019-2021),unfruchtbarkeit,1,10,10,1.0
2021,Early (2019-2021),vater_vaterschaft,222,1298,802,1.62
2021,Early (2019-2021),verantwortung_pflicht,2638,15143,2962,5.11
2021,Early (2019-2021),volk,3236,19541,4731,4.13
2021,Early (2019-2021),werte_moral_tradition,1543,9075,3055,2.97
2021,Early (2019-2021),west_liberal_lgbt,4737,29051,6485,4.48
2021,Early (2019-2021),zuhause_haeuslichkeit,2273,13979,4399,3.18
2021,Early (2019-2021),zukunft,829,4739,1915,2.47
2022,Late (2022-2025),abtreibung,27,173,135,1.28
2022,Late (2022-2025),aussterben,20,108,67,1.61
2022,Late (2022-2025),bevoelkerung,3391,21975,4775,4.6
2022,Late (2022-2025),bevoelkerungsrueckgang,9,59,47,1.26
2022,Late (2022-2025),bevoelkerungszahl,292,1891,747,2.53
2022,Late (2022-2025),bevoelkerungszuwachs,11,62,53,1.17
2022,Late (2022-2025),demografie,15,94,82,1.15
2022,Late (2022-2025),demografische_krise,0,0,0,0.0
2022,Late (2022-2025),demografischer_mangel_verlust,1,9,9,1.0
2022,Late (2022-2025),duma,345,2212,959,2.31
2022,Late (2022-2025),ehe,299,1858,944,1.97
2022,Late (2022-2025),eltern_elternschaft,339,2040,944,2.16
2022,Late (2022-2025),empfaengnis,0,0,0,0.0
2022,Late (2022-2025),erziehung,188,1067,637,1.68
2022,Late (2022-2025),familie,1339,8065,2808,2.87
2022,Late (2022-2025),frau,1967,12298,3577,3.44
2022,Late (2022-2025),geburt_gebaeren,400,2482,1180,2.1
2022,Late (2022-2025),geburtenrate,5,28,28,1.0
2022,Late (2022-2025),geistig_religioes,506,3032,1392,2.18
2022,Late (2022-2025),generation,402,2506,1026,2.44
2022,Late (2022-2025),gesetz,4985,29580,5805,5.1
2022,Late (2022-2025),heimat_vaterland,1005,6288,2253,2.79
2022,Late (2022-2025),kinder,3694,22203,4979,4.46
2022,Late (2022-2025),land_staatlicher_raum,19532,122657,13398,9.15
2022,Late (2022-2025),mann,951,6068,2203,2.75
2022,Late (2022-2025),muetterlich_vaeterlich,7,44,34,1.29
2022,Late (2022-2025),mutter_mutterschaft,407,2454,1165,2.11
2022,Late (2022-2025),mutterschaftskapital,0,0,0,0.0
2022,Late (2022-2025),nation_national,2360,15655,4112,3.81
2022,Late (2022-2025),norm_ordnung_kultur_gesellschaft,7128,43245,8172,5.29
2022,Late (2022-2025),patriotismus_identitaet_souveraenitaet,1451,9047,2603,3.48
2022,Late (2022-2025),propaganda,1379,8740,2938,2.97
2022,Late (2022-2025),regierung,3165,20706,4703,4.4
2022,Late (2022-2025),reproduktion_fachbegriff,5,34,32,1.06
2022,Late (2022-2025),russland_russisch,68838,445955,29555,15.09
2022,Late (2022-2025),schwangerschaft,71,441,237,1.86
2022,Late (2022-2025),schwangerschaftsabbruch,0,0,0,0.0
2022,Late (2022-2025),sorge_fuersorge,328,1828,876,2.09
2022,Late (2022-2025),staat,5780,37252,6764,5.51
2022,Late (2022-2025),unfruchtbarkeit,15,99,81,1.22
2022,Late (2022-2025),vater_vaterschaft,388,2277,1092,2.09
2022,Late (2022-2025),verantwortung_pflicht,3539,20620,3328,6.2
2022,Late (2022-2025),volk,6482,43868,6884,6.37
2022,Late (2022-2025),werte_moral_tradition,2718,16510,4328,3.81
2022,Late (2022-2025),west_liberal_lgbt,17020,107865,13674,7.89
2022,Late (2022-2025),zuhause_haeuslichkeit,4554,28828,6063,4.75
2022,Late (2022-2025),zukunft,1927,11109,3068,3.62
2023,Late (2022-2025),abtreibung,50,338,209,1.62
2023,Late (2022-2025),aussterben,20,117,82,1.43
2023,Late (2022-2025),bevoelkerung,2366,15227,3937,3.87
2023,Late (2022-2025),bevoelkerungsrueckgang,6,43,30,1.43
2023,Late (2022-2025),bevoelkerungszahl,328,2231,874,2.55
2023,Late (2022-2025),bevoelkerungszuwachs,22,133,108,1.23
2023,Late (2022-2025),demografie,78,497,327,1.52
2023,Late (2022-2025),demografische_krise,6,51,22,2.32
2023,Late (2022-2025),demografischer_mangel_verlust,2,15,14,1.07
2023,Late (2022-2025),duma,267,1680,816,2.06
2023,Late (2022-2025),ehe,292,1807,947,1.91
2023,Late (2022-2025),eltern_elternschaft,503,3039,1372,2.22
2023,Late (2022-2025),empfaengnis,1,5,4,1.25
2023,Late (2022-2025),erziehung,175,1100,651,1.69
2023,Late (2022-2025),familie,1507,9276,3145,2.95
2023,Late (2022-2025),frau,2459,15499,4502,3.44
2023,Late (2022-2025),geburt_gebaeren,452,2829,1272,2.22
2023,Late (2022-2025),geburtenrate,37,237,168,1.41
2023,Late (2022-2025),geistig_religioes,838,5104,2067,2.47
2023,Late (2022-2025),generation,487,3162,1360,2.33
2023,Late (2022-2025),gesetz,5855,35333,6786,5.21
2023,Late (2022-2025),heimat_vaterland,1129,7095,2581,2.75
2023,Late (2022-2025),kinder,3495,21312,5464,3.9
2023,Late (2022-2025),land_staatlicher_raum,19973,127447,14475,8.8
2023,Late (2022-2025),mann,1854,11826,3644,3.25
2023,Late (2022-2025),muetterlich_vaeterlich,32,197,132,1.49
2023,Late (2022-2025),mutter_mutterschaft,418,2607,1263,2.06
2023,Late (2022-2025),mutterschaftskapital,10,68,42,1.62
2023,Late (2022-2025),nation_national,2570,17133,4437,3.86
2023,Late (2022-2025),norm_ordnung_kultur_gesellschaft,6850,41982,8441,4.97
2023,Late (2022-2025),patriotismus_identitaet_souveraenitaet,1360,8372,2749,3.05
2023,Late (2022-2025),propaganda,1471,9515,3287,2.89
2023,Late (2022-2025),regierung,3608,23899,5318,4.49
2023,Late (2022-2025),reproduktion_fachbegriff,15,92,70,1.31
2023,Late (2022-2025),russland_russisch,56434,370290,28320,13.08
2023,Late (2022-2025),schwangerschaft,82,500,333,1.5
2023,Late (2022-2025),schwangerschaftsabbruch,3,19,12,1.58
2023,Late (2022-2025),sorge_fuersorge,327,1790,868,2.06
2023,Late (2022-2025),staat,6332,41478,7569,5.48
2023,Late (2022-2025),unfruchtbarkeit,20,120,90,1.33
2023,Late (2022-2025),vater_vaterschaft,486,2994,1453,2.06
2023,Late (2022-2025),verantwortung_pflicht,3517,20614,3781,5.45
2023,Late (2022-2025),volk,3788,24362,5440,4.48
2023,Late (2022-2025),werte_moral_tradition,2412,14871,4292,3.46
2023,Late (2022-2025),west_liberal_lgbt,18748,120219,15247,7.88
2023,Late (2022-2025),zuhause_haeuslichkeit,4671,30079,6485,4.64
2023,Late (2022-2025),zukunft,2226,13309,3568,3.73
2024,Late (2022-2025),abtreibung,69,395,256,1.54
2024,Late (2022-2025),aussterben,24,161,96,1.68
2024,Late (2022-2025),bevoelkerung,2310,15296,3881,3.94
2024,Late (2022-2025),bevoelkerungsrueckgang,4,23,21,1.1
2024,Late (2022-2025),bevoelkerungszahl,246,1657,761,2.18
2024,Late (2022-2025),bevoelkerungszuwachs,17,112,90,1.24
2024,Late (2022-2025),demografie,73,472,305,1.55
2024,Late (2022-2025),demografische_krise,2,11,10,1.1
2024,Late (2022-2025),demografischer_mangel_verlust,3,25,23,1.09
2024,Late (2022-2025),duma,189,1228,626,1.96
2024,Late (2022-2025),ehe,261,1611,866,1.86
2024,Late (2022-2025),eltern_elternschaft,316,1913,1017,1.88
2024,Late (2022-2025),empfaengnis,1,7,6,1.17
2024,Late (2022-2025),erziehung,145,851,537,1.58
2024,Late (2022-2025),familie,1290,7931,2997,2.65
2024,Late (2022-2025),frau,2306,14374,4416,3.25
2024,Late (2022-2025),geburt_gebaeren,359,2254,1086,2.08
2024,Late (2022-2025),geburtenrate,28,190,99,1.92
2024,Late (2022-2025),geistig_religioes,515,3250,1579,2.06
2024,Late (2022-2025),generation,399,2538,1126,2.25
2024,Late (2022-2025),gesetz,4973,30079,6135,4.9
2024,Late (2022-2025),heimat_vaterland,686,4234,1746,2.42
2024,Late (2022-2025),kinder,2417,14841,4467,3.32
2024,Late (2022-2025),land_staatlicher_raum,13699,86071,11510,7.48
2024,Late (2022-2025),mann,2029,13055,3937,3.32
2024,Late (2022-2025),muetterlich_vaeterlich,24,149,81,1.84
2024,Late (2022-2025),mutter_mutterschaft,329,2046,1110,1.84
2024,Late (2022-2025),mutterschaftskapital,9,69,28,2.46
2024,Late (2022-2025),nation_national,2144,14549,4136,3.52
2024,Late (2022-2025),norm_ordnung_kultur_gesellschaft,4806,29197,6873,4.25
2024,Late (2022-2025),patriotismus_identitaet_souveraenitaet,870,5482,2011,2.73
2024,Late (2022-2025),propaganda,1213,8024,2878,2.79
2024,Late (2022-2025),regierung,2515,16648,4431,3.76
2024,Late (2022-2025),reproduktion_fachbegriff,10,53,37,1.43
2024,Late (2022-2025),russland_russisch,46381,307541,25621,12.0
2024,Late (2022-2025),schwangerschaft,66,393,259,1.52
2024,Late (2022-2025),schwangerschaftsabbruch,0,0,0,0.0
2024,Late (2022-2025),sorge_fuersorge,225,1203,671,1.79
2024,Late (2022-2025),staat,4033,26640,5877,4.53
2024,Late (2022-2025),unfruchtbarkeit,6,43,43,1.0
2024,Late (2022-2025),vater_vaterschaft,475,2949,1448,2.04
2024,Late (2022-2025),verantwortung_pflicht,3088,18386,3379,5.44
2024,Late (2022-2025),volk,2592,16577,4393,3.77
2024,Late (2022-2025),werte_moral_tradition,1631,10155,3489,2.91
2024,Late (2022-2025),west_liberal_lgbt,11876,76484,11600,6.59
2024,Late (2022-2025),zuhause_haeuslichkeit,4022,26082,6169,4.23
2024,Late (2022-2025),zukunft,1959,11937,3491,3.42
2025,Late (2022-2025),abtreibung,5,32,27,1.19
2025,Late (2022-2025),aussterben,22,146,109,1.34
2025,Late (2022-2025),bevoelkerung,1962,13618,3584,3.8
2025,Late (2022-2025),bevoelkerungsrueckgang,24,178,92,1.93
2025,Late (2022-2025),bevoelkerungszahl,406,2847,946,3.01
2025,Late (2022-2025),bevoelkerungszuwachs,11,68,55,1.24
2025,Late (2022-2025),demografie,48,327,248,1.32
2025,Late (2022-2025),demografische_krise,4,24,15,1.6
2025,Late (2022-2025),demografischer_mangel_verlust,1,8,8,1.0
2025,Late (2022-2025),duma,110,720,485,1.48
2025,Late (2022-2025),ehe,230,1440,833,1.73
2025,Late (2022-2025),eltern_elternschaft,245,1511,841,1.8
2025,Late (2022-2025),empfaengnis,2,9,9,1.0
2025,Late (2022-2025),erziehung,125,773,449,1.72
2025,Late (2022-2025),familie,1044,6543,2604,2.51
2025,Late (2022-2025),frau,1575,10154,3487,2.91
2025,Late (2022-2025),geburt_gebaeren,410,2739,1154,2.37
2025,Late (2022-2025),geburtenrate,33,227,135,1.68
2025,Late (2022-2025),geistig_religioes,450,2909,1411,2.06
2025,Late (2022-2025),generation,356,2426,1123,2.16
2025,Late (2022-2025),gesetz,4854,30082,5912,5.09
2025,Late (2022-2025),heimat_vaterland,800,5293,2016,2.63
2025,Late (2022-2025),kinder,2108,13053,4064,3.21
2025,Late (2022-2025),land_staatlicher_raum,13965,89393,11536,7.75
2025,Late (2022-2025),mann,1512,9969,3367,2.96
2025,Late (2022-2025),muetterlich_vaeterlich,21,145,101,1.44
2025,Late (2022-2025),mutter_mutterschaft,247,1593,920,1.73
2025,Late (2022-2025),mutterschaftskapital,3,21,15,1.4
2025,Late (2022-2025),nation_national,2321,16271,4215,3.86
2025,Late (2022-2025),norm_ordnung_kultur_gesellschaft,4260,26917,6341,4.24
2025,Late (2022-2025),patriotismus_identitaet_souveraenitaet,1037,6747,2289,2.95
2025,Late (2022-2025),propaganda,1150,7919,2911,2.72
2025,Late (2022-2025),regierung,2821,19156,4628,4.14
2025,Late (2022-2025),reproduktion_fachbegriff,24,171,86,1.99
2025,Late (2022-2025),russland_russisch,51838,347191,25589,13.57
2025,Late (2022-2025),schwangerschaft,41,265,194,1.37
2025,Late (2022-2025),schwangerschaftsabbruch,0,0,0,0.0
2025,Late (2022-2025),sorge_fuersorge,218,1209,648,1.87
2025,Late (2022-2025),staat,3969,26776,5798,4.62
2025,Late (2022-2025),unfruchtbarkeit,10,66,51,1.29
2025,Late (2022-2025),vater_vaterschaft,337,1971,1083,1.82
2025,Late (2022-2025),verantwortung_pflicht,3032,18559,3264,5.69
2025,Late (2022-2025),volk,2409,15938,4038,3.95
2025,Late (2022-2025),werte_moral_tradition,1453,9285,3316,2.8
2025,Late (2022-2025),west_liberal_lgbt,7180,47849,8717,5.49
2025,Late (2022-2025),zuhause_haeuslichkeit,5072,33422,6747,4.95
2025,Late (2022-2025),zukunft,2196,13683,3551,3.85
